,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
0,Andrew,Lemon and Rosemary Drizzle Cake,12th,'Ultimate Indulgence' Mirror Glaze Cake,1,_Cake,7
1,Benjamina,"Pistachio, Cardamom and Lemon Drizzle Cake",6th,White Chocolate Mirror Glaze with Salted Praline Buttercream,1,_Cake,7
2,Candice,Raspberry and Rhubarb Drizzle Custard Bundt Cake,5th,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",1,_Cake,7
3,Jane,Lemon and Poppy Seed Drizzle Cake,7th,Chocolate Orange Mirror Cake,1,_Cake,7
4,Kate,Berry Best Apple and Bramble Drizzle Cake,4th,One Swallow Does Not Make A Summer Cake,1,_Cake,7
5,Lee,St. Clements Orange and Lemon Drizzle Cake,11th,Strawberry Surprise Mirror Cake,1,_Cake,7
6,Louise,Orange Liqueur and Lemonade Drizzle Cake,9th,White Chocolate Trifle Mirror Glaze Cake,1,_Cake,7
7,Michael,"Lime, Ginger and Honey Drizzle Cake",3rd,Matcha Tea Chocolate Mirror Glaze,1,_Cake,7
8,Rav,Ginger Spice Yuzu Drizzle Cake,8th,Colombian Mocha Mirror Glaze Cake,1,_Cake,7
9,Selasi,Citrus and Spice Drizzle Cake,1st,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",1,_Cake,7
10,Tom,G&T Drizzle Cake,2nd,Black Forest Broken Mirror,1,_Cake,7
11,Val,Mum's Orange and Lemon Drizzle,10th,Chocolate Sponge with Four Fruit Frosting,1,_Cake,7
0,Andrew,Chocolate Barmbrack Bread,2nd,Braided Harvest Bread Basket,2,_Biscuits,7
1,Benjamina,"Chocolate, Tahini and Almond Babka",6th,Braided Bread Heart,2,_Biscuits,7
2,Candice,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",3rd,Italian Light and Dark Rye Twist,2,_Biscuits,7
3,Jane,Chocolate and Cranberry Couronne,9th,Chorizo and Chilli Flower with Parmesan and Pesto Centre,2,_Biscuits,7
4,Kate,Cobbled Loaf,8th,The Corn Maiden,2,_Biscuits,7
5,Michael,Chocolate and Chilli Swirl Plait,7th,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,2,_Biscuits,7
6,Rav,"Chocolate, Cardamom and Hazelnut Loaf",10th,Three Tier Diwali Bread Centrepiece,2,_Biscuits,7
7,Selasi,"Chocolate, Orange and Cinnamon Bread",5th,Bedouin Escape Tear and Share Bread,2,_Biscuits,7
8,Tom,Chocolate Orange and Chilli Swirl Bread,4th,Jörmungandr and Mjölnir,2,_Biscuits,7
9,Val,Double Chocolate Cinnamon Twist Loaf,1st,"""And They All Went Into The Ark To Get Out Of The Rain""",2,_Biscuits,7
0,Andrew,Yorkshire 'Tapas' Puddings,4th,Churros Window Box,3,_Bread,7
1,Benjamina,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",1st,Tropical Churros,3,_Bread,7
2,Candice,Yorkshire Wellingtons,2nd,Two-Way Peanut Butter Churros,3,_Bread,7
3,Jane,Meat and Two Veg Yorkshires,3rd,Pistachio and White Chocolate Churros,3,_Bread,7
