,Baker,Age,Occupation,Hometown
0,Annetha Mills,30,Single mother,Essex
1,David Chambers,31,Entrepreneur,Milton Keynes
2,"Edward ""Edd"" Kimber",24,Debt collector for Yorkshire Bank,Bradford
3,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham
4,Jonathan Shepherd,25,Research Analyst,St Albans
5,Lea Harris,51,Retired,"Midlothian, Scotland"
6,Louise Brimelow,44,Police Officer,Manchester
7,Mark Whithers,48,Bus Driver,South Wales
8,Miranda Gore Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
9,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
